country;country_code;year_week;age_group;new_cases;population;rate_14_day_per_100k;source
Austria;AT;2021-17;<15yr;2173;1285488;352.628729323;TESSy COVID-19
Austria;AT;2021-18;<15yr;1603;1285488;293.7405872322;TESSy COVID-19
Austria;AT;2021-19;<15yr;1018;1285488;203.8914404491;TESSy COVID-19
Austria;AT;2021-20;<15yr;764;1285488;138.624397894;TESSy COVID-19
Austria;AT;2021-21;<15yr;550;1285488;102.2179903663;TESSy COVID-19
Austria;AT;2021-22;<15yr;395;1285488;73.5129382771;TESSy COVID-19
Austria;AT;2021-23;<15yr;284;1285488;52.8204075028;TESSy COVID-19
Austria;AT;2021-24;<15yr;171;1285488;35.3951184297;TESSy COVID-19
Austria;AT;2021-25;<15yr;146;1285488;24.6598956972;TESSy COVID-19
Austria;AT;2021-26;<15yr;93;1285488;18.5921611092;TESSy COVID-19
Austria;AT;2021-27;<15yr;106;1285488;15.4805023462;TESSy COVID-19
Austria;AT;2021-28;<15yr;153;1285488;20.1479904908;TESSy COVID-19
Austria;AT;2021-29;<15yr;228;1285488;29.6385497181;TESSy COVID-19
Austria;AT;2021-30;<15yr;263;1285488;38.1956113165;TESSy COVID-19
Austria;AT;2021-31;<15yr;384;1285488;50.3310804924;TESSy COVID-19
Austria;AT;2021-32;<15yr;813;1285488;93.1163884844;TESSy COVID-19
Austria;AT;2021-33;<15yr;1194;1285488;156.1274784362;TESSy COVID-19
Austria;AT;2021-34;<15yr;1580;1285488;215.7935352178;TESSy COVID-19
Austria;AT;2021-35;<15yr;2040;1285488;281.6051180563;TESSy COVID-19
Austria;AT;2021-36;<15yr;2835;1285488;379.2334117471;TESSy COVID-19
Austria;AT;2021-37;<15yr;3345;1285488;480.7512788918;TESSy COVID-19
Austria;AT;2021-38;<15yr;2792;1285488;477.4062457215;TESSy COVID-19
Austria;AT;2021-39;<15yr;2979;1285488;448.9345680395;TESSy COVID-19
Austria;AT;2021-40;<15yr;2689;1285488;440.9220467247;TESSy COVID-19
Austria;AT;2021-41;<15yr;2966;1285488;439.9107576267;TESSy COVID-19
Austria;AT;2021-42;<15yr;4762;1285488;601.1724730219;TESSy COVID-19
Austria;AT;2021-43;<15yr;5464;1285488;795.4955627746;TESSy COVID-19
Austria;AT;2021-44;<15yr;8355;1285488;1075.0003111659;TESSy COVID-19
Austria;AT;2021-45;<15yr;13520;1285488;1701.6883860448;TESSy COVID-19
Austria;AT;2021-46;<15yr;20876;1285488;2675.7153703496;TESSy COVID-19
Austria;AT;2021-47;<15yr;18976;1285488;3100.1456256301;TESSy COVID-19
Austria;AT;2021-48;<15yr;11333;1285488;2357.7816362346;TESSy COVID-19
Austria;AT;2021-49;<15yr;6168;1285488;1361.4285003049;TESSy COVID-19
Austria;AT;2021-50;<15yr;3758;1285488;772.1581220517;TESSy COVID-19
Austria;AT;2021-51;<15yr;2571;1285488;492.3422077841;TESSy COVID-19
Austria;AT;2021-52;<15yr;2854;1285488;422.0187197391;TESSy COVID-19
Austria;AT;2022-01;<15yr;6991;1285488;765.8570130565;TESSy COVID-19
Austria;AT;2022-02;<15yr;18725;1285488;2000.485418767;TESSy COVID-19
Austria;AT;2022-03;<15yr;37054;1285488;4339.1303536089;TESSy COVID-19
Austria;AT;2022-04;<15yr;47237;1285488;6557.1207199134;TESSy COVID-19
Austria;AT;2022-05;<15yr;44484;1285488;7135.1113351505;TESSy COVID-19
Austria;AT;2022-06;<15yr;40243;1285488;6591.0378004307;TESSy COVID-19
Austria;AT;2022-07;<15yr;34910;1285488;5846.2622754938;TESSy COVID-19
