age;Time;val
50-60;Year 2020 Week 17;109
60-70;Year 2020 Week 17;65
70-80;Year 2020 Week 17;27
80-;Year 2020 Week 17;84
All ages;Year 2020 Week 17;736
00-10;Year 2020 Week 18;28
10-20;Year 2020 Week 18;32
20-30;Year 2020 Week 18;141
30-40;Year 2020 Week 18;150
40-50;Year 2020 Week 18;87
50-60;Year 2020 Week 18;89
60-70;Year 2020 Week 18;47
70-80;Year 2020 Week 18;19
80-;Year 2020 Week 18;30
All ages;Year 2020 Week 18;623
00-10;Year 2020 Week 19;27
10-20;Year 2020 Week 19;49
20-30;Year 2020 Week 19;123
30-40;Year 2020 Week 19;121
40-50;Year 2020 Week 19;108
50-60;Year 2020 Week 19;95
60-70;Year 2020 Week 19;37
70-80;Year 2020 Week 19;24
80-;Year 2020 Week 19;33
All ages;Year 2020 Week 19;617
00-10;Year 2020 Week 20;8
10-20;Year 2020 Week 20;25
20-30;Year 2020 Week 20;60
30-40;Year 2020 Week 20;95
40-50;Year 2020 Week 20;66
50-60;Year 2020 Week 20;70
60-70;Year 2020 Week 20;38
70-80;Year 2020 Week 20;10
80-;Year 2020 Week 20;24
All ages;Year 2020 Week 20;396
00-10;Year 2020 Week 21;18
10-20;Year 2020 Week 21;16
20-30;Year 2020 Week 21;39
30-40;Year 2020 Week 21;38
40-50;Year 2020 Week 21;36
50-60;Year 2020 Week 21;36
60-70;Year 2020 Week 21;17
70-80;Year 2020 Week 21;12
80-;Year 2020 Week 21;9
All ages;Year 2020 Week 21;221
00-10;Year 2020 Week 22;9
10-20;Year 2020 Week 22;17
20-30;Year 2020 Week 22;47
30-40;Year 2020 Week 22;24
40-50;Year 2020 Week 22;20
50-60;Year 2020 Week 22;22
60-70;Year 2020 Week 22;10
70-80;Year 2020 Week 22;9
80-;Year 2020 Week 22;5
All ages;Year 2020 Week 22;163
00-10;Year 2020 Week 23;6
10-20;Year 2020 Week 23;13
20-30;Year 2020 Week 23;20
30-40;Year 2020 Week 23;21
40-50;Year 2020 Week 23;13
50-60;Year 2020 Week 23;17
60-70;Year 2020 Week 23;0
70-80;Year 2020 Week 23;0
80-;Year 2020 Week 23;0
All ages;Year 2020 Week 23;99
00-10;Year 2020 Week 24;0
10-20;Year 2020 Week 24;0
20-30;Year 2020 Week 24;15
30-40;Year 2020 Week 24;15
40-50;Year 2020 Week 24;8
50-60;Year 2020 Week 24;0
60-70;Year 2020 Week 24;0
70-80;Year 2020 Week 24;0
80-;Year 2020 Week 24;0
All ages;Year 2020 Week 24;54
00-10;Year 2020 Week 25;7
10-20;Year 2020 Week 25;0
20-30;Year 2020 Week 25;9
30-40;Year 2020 Week 25;8
40-50;Year 2020 Week 25;7
50-60;Year 2020 Week 25;6
60-70;Year 2020 Week 25;0
70-80;Year 2020 Week 25;6
80-;Year 2020 Week 25;0
All ages;Year 2020 Week 25;51
00-10;Year 2020 Week 26;7
10-20;Year 2020 Week 26;0
20-30;Year 2020 Week 26;14
30-40;Year 2020 Week 26;7
40-50;Year 2020 Week 26;12
50-60;Year 2020 Week 26;8
60-70;Year 2020 Week 26;0
70-80;Year 2020 Week 26;0
80-;Year 2020 Week 26;0
All ages;Year 2020 Week 26;54
00-10;Year 2020 Week 27;0
10-20;Year 2020 Week 27;0
20-30;Year 2020 Week 27;6
30-40;Year 2020 Week 27;10
40-50;Year 2020 Week 27;10
50-60;Year 2020 Week 27;6
60-70;Year 2020 Week 27;0
70-80;Year 2020 Week 27;0
80-;Year 2020 Week 27;0
All ages;Year 2020 Week 27;46
00-10;Year 2020 Week 28;0
10-20;Year 2020 Week 28;0
20-30;Year 2020 Week 28;5
30-40;Year 2020 Week 28;8
40-50;Year 2020 Week 28;8
50-60;Year 2020 Week 28;5
60-70;Year 2020 Week 28;0
70-80;Year 2020 Week 28;0
80-;Year 2020 Week 28;0
All ages;Year 2020 Week 28;38
00-10;Year 2020 Week 29;8
10-20;Year 2020 Week 29;0
20-30;Year 2020 Week 29;12
30-40;Year 2020 Week 29;14
40-50;Year 2020 Week 29;0
50-60;Year 2020 Week 29;0
60-70;Year 2020 Week 29;0
70-80;Year 2020 Week 29;0
80-;Year 2020 Week 29;0
All ages;Year 2020 Week 29;43
00-10;Year 2020 Week 30;6
10-20;Year 2020 Week 30;6
20-30;Year 2020 Week 30;12
30-40;Year 2020 Week 30;14
40-50;Year 2020 Week 30;0
50-60;Year 2020 Week 30;5
60-70;Year 2020 Week 30;7
70-80;Year 2020 Week 30;0
80-;Year 2020 Week 30;0
All ages;Year 2020 Week 30;56
00-10;Year 2020 Week 31;0
10-20;Year 2020 Week 31;7
20-30;Year 2020 Week 31;19
30-40;Year 2020 Week 31;15
40-50;Year 2020 Week 31;25
50-60;Year 2020 Week 31;8
60-70;Year 2020 Week 31;0
70-80;Year 2020 Week 31;0
80-;Year 2020 Week 31;0
All ages;Year 2020 Week 31;84
00-10;Year 2020 Week 32;9
10-20;Year 2020 Week 32;12
20-30;Year 2020 Week 32;29
30-40;Year 2020 Week 32;57
40-50;Year 2020 Week 32;27
50-60;Year 2020 Week 32;14
60-70;Year 2020 Week 32;16
70-80;Year 2020 Week 32;0
80-;Year 2020 Week 32;0
All ages;Year 2020 Week 32;169
00-10;Year 2020 Week 33;11
10-20;Year 2020 Week 33;32
20-30;Year 2020 Week 33;47
30-40;Year 2020 Week 33;27
40-50;Year 2020 Week 33;21
50-60;Year 2020 Week 33;21
60-70;Year 2020 Week 33;10
70-80;Year 2020 Week 33;0
80-;Year 2020 Week 33;0
All ages;Year 2020 Week 33;175
00-10;Year 2020 Week 34;15
10-20;Year 2020 Week 34;33
20-30;Year 2020 Week 34;39
30-40;Year 2020 Week 34;31
40-50;Year 2020 Week 34;26
50-60;Year 2020 Week 34;29
60-70;Year 2020 Week 34;10
70-80;Year 2020 Week 34;0
80-;Year 2020 Week 34;7
All ages;Year 2020 Week 34;192
00-10;Year 2020 Week 35;12
10-20;Year 2020 Week 35;29
20-30;Year 2020 Week 35;46
30-40;Year 2020 Week 35;25
40-50;Year 2020 Week 35;15
50-60;Year 2020 Week 35;18
60-70;Year 2020 Week 35;7
70-80;Year 2020 Week 35;0
80-;Year 2020 Week 35;0
All ages;Year 2020 Week 35;156
00-10;Year 2020 Week 36;9
10-20;Year 2020 Week 36;42
20-30;Year 2020 Week 36;67
30-40;Year 2020 Week 36;42
40-50;Year 2020 Week 36;34
50-60;Year 2020 Week 36;20
60-70;Year 2020 Week 36;13
70-80;Year 2020 Week 36;5
80-;Year 2020 Week 36;0
All ages;Year 2020 Week 36;236
00-10;Year 2020 Week 37;11
10-20;Year 2020 Week 37;99
20-30;Year 2020 Week 37;92
30-40;Year 2020 Week 37;47
40-50;Year 2020 Week 37;34
50-60;Year 2020 Week 37;37
60-70;Year 2020 Week 37;17
70-80;Year 2020 Week 37;5
80-;Year 2020 Week 37;12
All ages;Year 2020 Week 37;354
00-10;Year 2020 Week 38;17
10-20;Year 2020 Week 38;82
20-30;Year 2020 Week 38;147
30-40;Year 2020 Week 38;95
40-50;Year 2020 Week 38;57
50-60;Year 2020 Week 38;37
60-70;Year 2020 Week 38;20
70-80;Year 2020 Week 38;10
80-;Year 2020 Week 38;5
All ages;Year 2020 Week 38;470
00-10;Year 2020 Week 39;27
10-20;Year 2020 Week 39;90
20-30;Year 2020 Week 39;206
30-40;Year 2020 Week 39;128
40-50;Year 2020 Week 39;100
50-60;Year 2020 Week 39;96
60-70;Year 2020 Week 39;52
70-80;Year 2020 Week 39;13
80-;Year 2020 Week 39;8
All ages;Year 2020 Week 39;720
00-10;Year 2020 Week 40;34
10-20;Year 2020 Week 40;108
20-30;Year 2020 Week 40;437
30-40;Year 2020 Week 40;152
40-50;Year 2020 Week 40;119
50-60;Year 2020 Week 40;151
60-70;Year 2020 Week 40;87
70-80;Year 2020 Week 40;34
80-;Year 2020 Week 40;8
All ages;Year 2020 Week 40;1130
00-10;Year 2020 Week 41;42
10-20;Year 2020 Week 41;214
20-30;Year 2020 Week 41;692
30-40;Year 2020 Week 41;222
40-50;Year 2020 Week 41;196
50-60;Year 2020 Week 41;149
60-70;Year 2020 Week 41;73
70-80;Year 2020 Week 41;28
80-;Year 2020 Week 41;10
All ages;Year 2020 Week 41;1626
00-10;Year 2020 Week 42;45
10-20;Year 2020 Week 42;197
20-30;Year 2020 Week 42;378
30-40;Year 2020 Week 42;210
40-50;Year 2020 Week 42;189
50-60;Year 2020 Week 42;136
60-70;Year 2020 Week 42;74
70-80;Year 2020 Week 42;29
80-;Year 2020 Week 42;17
All ages;Year 2020 Week 42;1275
00-10;Year 2020 Week 43;66
10-20;Year 2020 Week 43;175
20-30;Year 2020 Week 43;287
30-40;Year 2020 Week 43;261
40-50;Year 2020 Week 43;187
50-60;Year 2020 Week 43;145
60-70;Year 2020 Week 43;78
70-80;Year 2020 Week 43;36
80-;Year 2020 Week 43;13
All ages;Year 2020 Week 43;1248
00-10;Year 2020 Week 44;106
10-20;Year 2020 Week 44;291
20-30;Year 2020 Week 44;290
30-40;Year 2020 Week 44;266
40-50;Year 2020 Week 44;204
50-60;Year 2020 Week 44;187
60-70;Year 2020 Week 44;65
70-80;Year 2020 Week 44;32
80-;Year 2020 Week 44;15
All ages;Year 2020 Week 44;1456
00-10;Year 2020 Week 45;115
10-20;Year 2020 Week 45;247
20-30;Year 2020 Week 45;271
30-40;Year 2020 Week 45;266
40-50;Year 2020 Week 45;215
50-60;Year 2020 Week 45;172
60-70;Year 2020 Week 45;85
70-80;Year 2020 Week 45;25
80-;Year 2020 Week 45;20
All ages;Year 2020 Week 45;1416
00-10;Year 2020 Week 46;95
10-20;Year 2020 Week 46;233
20-30;Year 2020 Week 46;310
30-40;Year 2020 Week 46;309
40-50;Year 2020 Week 46;283
50-60;Year 2020 Week 46;209
60-70;Year 2020 Week 46;110
70-80;Year 2020 Week 46;56
80-;Year 2020 Week 46;47
All ages;Year 2020 Week 46;1652
00-10;Year 2020 Week 47;145
10-20;Year 2020 Week 47;365
20-30;Year 2020 Week 47;512
30-40;Year 2020 Week 47;484
40-50;Year 2020 Week 47;433
50-60;Year 2020 Week 47;332
60-70;Year 2020 Week 47;174
70-80;Year 2020 Week 47;86
80-;Year 2020 Week 47;70
All ages;Year 2020 Week 47;2601
00-10;Year 2020 Week 48;158
10-20;Year 2020 Week 48;391
20-30;Year 2020 Week 48;686
30-40;Year 2020 Week 48;634
40-50;Year 2020 Week 48;483
50-60;Year 2020 Week 48;399
60-70;Year 2020 Week 48;221
70-80;Year 2020 Week 48;103
80-;Year 2020 Week 48;62
All ages;Year 2020 Week 48;3137
00-10;Year 2020 Week 49;170
10-20;Year 2020 Week 49;392
20-30;Year 2020 Week 49;637
30-40;Year 2020 Week 49;544
40-50;Year 2020 Week 49;427
50-60;Year 2020 Week 49;402
60-70;Year 2020 Week 49;195
70-80;Year 2020 Week 49;140
80-;Year 2020 Week 49;108
All ages;Year 2020 Week 49;3015
00-10;Year 2020 Week 50;206
10-20;Year 2020 Week 50;364
20-30;Year 2020 Week 50;561
30-40;Year 2020 Week 50;515
40-50;Year 2020 Week 50;443
50-60;Year 2020 Week 50;372
60-70;Year 2020 Week 50;195
70-80;Year 2020 Week 50;137
80-;Year 2020 Week 50;114
All ages;Year 2020 Week 50;2907
00-10;Year 2020 Week 51;152
10-20;Year 2020 Week 51;261
20-30;Year 2020 Week 51;474
30-40;Year 2020 Week 51;443
40-50;Year 2020 Week 51;327
50-60;Year 2020 Week 51;305
60-70;Year 2020 Week 51;174
70-80;Year 2020 Week 51;102
80-;Year 2020 Week 51;90
All ages;Year 2020 Week 51;2328
00-10;Year 2020 Week 52;113
10-20;Year 2020 Week 52;200
20-30;Year 2020 Week 52;346
30-40;Year 2020 Week 52;304
40-50;Year 2020 Week 52;249
50-60;Year 2020 Week 52;206
60-70;Year 2020 Week 52;110
70-80;Year 2020 Week 52;75
80-;Year 2020 Week 52;51
All ages;Year 2020 Week 52;1654
