age;Time;val
30-40;Year 2021 Week 30;908
40-50;Year 2021 Week 30;594
50-60;Year 2021 Week 30;360
60-70;Year 2021 Week 30;134
70-80;Year 2021 Week 30;28
80-;Year 2021 Week 30;37
All ages;Year 2021 Week 30;4657
00-10;Year 2021 Week 31;456
10-20;Year 2021 Week 31;911
20-30;Year 2021 Week 31;1422
30-40;Year 2021 Week 31;995
40-50;Year 2021 Week 31;702
50-60;Year 2021 Week 31;395
60-70;Year 2021 Week 31;153
70-80;Year 2021 Week 31;33
80-;Year 2021 Week 31;30
All ages;Year 2021 Week 31;5097
00-10;Year 2021 Week 32;584
10-20;Year 2021 Week 32;1008
20-30;Year 2021 Week 32;1427
30-40;Year 2021 Week 32;926
40-50;Year 2021 Week 32;643
50-60;Year 2021 Week 32;402
60-70;Year 2021 Week 32;122
70-80;Year 2021 Week 32;40
80-;Year 2021 Week 32;34
All ages;Year 2021 Week 32;5186
00-10;Year 2021 Week 33;691
10-20;Year 2021 Week 33;942
20-30;Year 2021 Week 33;954
30-40;Year 2021 Week 33;791
40-50;Year 2021 Week 33;564
50-60;Year 2021 Week 33;273
60-70;Year 2021 Week 33;100
70-80;Year 2021 Week 33;45
80-;Year 2021 Week 33;30
All ages;Year 2021 Week 33;4390
00-10;Year 2021 Week 34;743
10-20;Year 2021 Week 34;1044
20-30;Year 2021 Week 34;736
30-40;Year 2021 Week 34;784
40-50;Year 2021 Week 34;492
50-60;Year 2021 Week 34;242
60-70;Year 2021 Week 34;98
70-80;Year 2021 Week 34;50
80-;Year 2021 Week 34;21
All ages;Year 2021 Week 34;4210
00-10;Year 2021 Week 35;689
10-20;Year 2021 Week 35;878
20-30;Year 2021 Week 35;620
30-40;Year 2021 Week 35;735
40-50;Year 2021 Week 35;524
50-60;Year 2021 Week 35;227
60-70;Year 2021 Week 35;101
70-80;Year 2021 Week 35;64
80-;Year 2021 Week 35;54
All ages;Year 2021 Week 35;3892
00-10;Year 2021 Week 36;512
10-20;Year 2021 Week 36;612
20-30;Year 2021 Week 36;624
30-40;Year 2021 Week 36;602
40-50;Year 2021 Week 36;392
50-60;Year 2021 Week 36;185
60-70;Year 2021 Week 36;96
70-80;Year 2021 Week 36;56
80-;Year 2021 Week 36;70
All ages;Year 2021 Week 36;3149
00-10;Year 2021 Week 37;416
10-20;Year 2021 Week 37;443
20-30;Year 2021 Week 37;718
30-40;Year 2021 Week 37;527
40-50;Year 2021 Week 37;345
50-60;Year 2021 Week 37;170
60-70;Year 2021 Week 37;122
70-80;Year 2021 Week 37;38
80-;Year 2021 Week 37;38
All ages;Year 2021 Week 37;2817
00-10;Year 2021 Week 38;403
10-20;Year 2021 Week 38;476
20-30;Year 2021 Week 38;732
30-40;Year 2021 Week 38;576
40-50;Year 2021 Week 38;377
50-60;Year 2021 Week 38;226
60-70;Year 2021 Week 38;126
70-80;Year 2021 Week 38;64
80-;Year 2021 Week 38;46
All ages;Year 2021 Week 38;3026
00-10;Year 2021 Week 39;529
10-20;Year 2021 Week 39;728
20-30;Year 2021 Week 39;799
30-40;Year 2021 Week 39;721
40-50;Year 2021 Week 39;489
50-60;Year 2021 Week 39;295
60-70;Year 2021 Week 39;190
70-80;Year 2021 Week 39;106
80-;Year 2021 Week 39;75
All ages;Year 2021 Week 39;3932
00-10;Year 2021 Week 40;640
10-20;Year 2021 Week 40;797
20-30;Year 2021 Week 40;788
30-40;Year 2021 Week 40;776
40-50;Year 2021 Week 40;486
50-60;Year 2021 Week 40;352
60-70;Year 2021 Week 40;215
70-80;Year 2021 Week 40;104
80-;Year 2021 Week 40;110
All ages;Year 2021 Week 40;4268
00-10;Year 2021 Week 41;620
10-20;Year 2021 Week 41;697
20-30;Year 2021 Week 41;608
30-40;Year 2021 Week 41;656
40-50;Year 2021 Week 41;511
50-60;Year 2021 Week 41;297
60-70;Year 2021 Week 41;162
70-80;Year 2021 Week 41;100
80-;Year 2021 Week 41;81
All ages;Year 2021 Week 41;3732
00-10;Year 2021 Week 42;608
10-20;Year 2021 Week 42;711
20-30;Year 2021 Week 42;520
30-40;Year 2021 Week 42;648
40-50;Year 2021 Week 42;501
50-60;Year 2021 Week 42;320
60-70;Year 2021 Week 42;198
70-80;Year 2021 Week 42;103
80-;Year 2021 Week 42;87
All ages;Year 2021 Week 42;3696
00-10;Year 2021 Week 43;602
10-20;Year 2021 Week 43;775
20-30;Year 2021 Week 43;630
30-40;Year 2021 Week 43;773
40-50;Year 2021 Week 43;648
50-60;Year 2021 Week 43;339
60-70;Year 2021 Week 43;241
70-80;Year 2021 Week 43;129
80-;Year 2021 Week 43;109
All ages;Year 2021 Week 43;4246
00-10;Year 2021 Week 44;887
10-20;Year 2021 Week 44;1040
20-30;Year 2021 Week 44;669
30-40;Year 2021 Week 44;871
40-50;Year 2021 Week 44;749
50-60;Year 2021 Week 44;379
60-70;Year 2021 Week 44;279
70-80;Year 2021 Week 44;147
80-;Year 2021 Week 44;142
All ages;Year 2021 Week 44;5163
00-10;Year 2021 Week 45;1173
10-20;Year 2021 Week 45;1158
20-30;Year 2021 Week 45;753
30-40;Year 2021 Week 45;1035
40-50;Year 2021 Week 45;873
50-60;Year 2021 Week 45;413
60-70;Year 2021 Week 45;293
70-80;Year 2021 Week 45;170
80-;Year 2021 Week 45;127
All ages;Year 2021 Week 45;5995
00-10;Year 2021 Week 46;1435
10-20;Year 2021 Week 46;1373
20-30;Year 2021 Week 46;956
30-40;Year 2021 Week 46;1224
40-50;Year 2021 Week 46;1137
50-60;Year 2021 Week 46;536
60-70;Year 2021 Week 46;416
70-80;Year 2021 Week 46;259
80-;Year 2021 Week 46;162
All ages;Year 2021 Week 46;7498
00-10;Year 2021 Week 47;1660
10-20;Year 2021 Week 47;1488
20-30;Year 2021 Week 47;889
30-40;Year 2021 Week 47;1374
40-50;Year 2021 Week 47;1200
50-60;Year 2021 Week 47;656
60-70;Year 2021 Week 47;412
70-80;Year 2021 Week 47;320
80-;Year 2021 Week 47;184
All ages;Year 2021 Week 47;8183
00-10;Year 2021 Week 48;1895
10-20;Year 2021 Week 48;1744
20-30;Year 2021 Week 48;1037
30-40;Year 2021 Week 48;1632
40-50;Year 2021 Week 48;1431
50-60;Year 2021 Week 48;812
60-70;Year 2021 Week 48;514
70-80;Year 2021 Week 48;296
80-;Year 2021 Week 48;178
All ages;Year 2021 Week 48;9539
00-10;Year 2021 Week 49;1959
10-20;Year 2021 Week 49;1902
20-30;Year 2021 Week 49;1199
30-40;Year 2021 Week 49;1877
40-50;Year 2021 Week 49;1749
50-60;Year 2021 Week 49;884
60-70;Year 2021 Week 49;547
70-80;Year 2021 Week 49;353
80-;Year 2021 Week 49;163
All ages;Year 2021 Week 49;10633
00-10;Year 2021 Week 50;2249
10-20;Year 2021 Week 50;2425
20-30;Year 2021 Week 50;1932
30-40;Year 2021 Week 50;2397
40-50;Year 2021 Week 50;2227
50-60;Year 2021 Week 50;1255
60-70;Year 2021 Week 50;820
70-80;Year 2021 Week 50;393
80-;Year 2021 Week 50;127
All ages;Year 2021 Week 50;13825
00-10;Year 2021 Week 51;2615
10-20;Year 2021 Week 51;3103
20-30;Year 2021 Week 51;4570
30-40;Year 2021 Week 51;4280
40-50;Year 2021 Week 51;3593
50-60;Year 2021 Week 51;2033
60-70;Year 2021 Week 51;1077
70-80;Year 2021 Week 51;427
80-;Year 2021 Week 51;200
All ages;Year 2021 Week 51;21898
00-10;Year 2021 Week 52;3518
10-20;Year 2021 Week 52;5743
20-30;Year 2021 Week 52;8955
30-40;Year 2021 Week 52;8503
40-50;Year 2021 Week 52;7378
50-60;Year 2021 Week 52;5446
60-70;Year 2021 Week 52;2800
70-80;Year 2021 Week 52;1143
80-;Year 2021 Week 52;537
All ages;Year 2021 Week 52;44023
00-10;Year 2022 Week 01;4010
10-20;Year 2022 Week 01;8570
20-30;Year 2022 Week 01;15504
30-40;Year 2022 Week 01;10911
40-50;Year 2022 Week 01;8823
50-60;Year 2022 Week 01;6542
60-70;Year 2022 Week 01;2894
70-80;Year 2022 Week 01;1045
80-;Year 2022 Week 01;675
All ages;Year 2022 Week 01;58974
00-10;Year 2022 Week 02;5581
10-20;Year 2022 Week 02;10633
20-30;Year 2022 Week 02;11770
30-40;Year 2022 Week 02;11233
40-50;Year 2022 Week 02;9490
50-60;Year 2022 Week 02;6761
60-70;Year 2022 Week 02;2831
70-80;Year 2022 Week 02;1007
80-;Year 2022 Week 02;690
All ages;Year 2022 Week 02;59996
00-10;Year 2022 Week 03;7129
10-20;Year 2022 Week 03;10379
20-30;Year 2022 Week 03;8908
30-40;Year 2022 Week 03;11649
40-50;Year 2022 Week 03;9522
50-60;Year 2022 Week 03;5214
60-70;Year 2022 Week 03;1948
70-80;Year 2022 Week 03;737
80-;Year 2022 Week 03;843
All ages;Year 2022 Week 03;56329
00-10;Year 2022 Week 04;5962
10-20;Year 2022 Week 04;8131
20-30;Year 2022 Week 04;6966
30-40;Year 2022 Week 04;11057
40-50;Year 2022 Week 04;8917
50-60;Year 2022 Week 04;3996
60-70;Year 2022 Week 04;1515
70-80;Year 2022 Week 04;538
80-;Year 2022 Week 04;668
All ages;Year 2022 Week 04;47750
00-10;Year 2022 Week 05;4845
10-20;Year 2022 Week 05;7018
20-30;Year 2022 Week 05;6768
30-40;Year 2022 Week 05;10826
40-50;Year 2022 Week 05;8525
50-60;Year 2022 Week 05;3754
60-70;Year 2022 Week 05;1355
70-80;Year 2022 Week 05;543
80-;Year 2022 Week 05;672
All ages;Year 2022 Week 05;44306
00-10;Year 2022 Week 06;4347
10-20;Year 2022 Week 06;7005
20-30;Year 2022 Week 06;7037
30-40;Year 2022 Week 06;11126
40-50;Year 2022 Week 06;8986
50-60;Year 2022 Week 06;4000
60-70;Year 2022 Week 06;1564
70-80;Year 2022 Week 06;660
80-;Year 2022 Week 06;708
All ages;Year 2022 Week 06;45433
00-10;Year 2022 Week 07;3725
10-20;Year 2022 Week 07;6902
20-30;Year 2022 Week 07;7132
30-40;Year 2022 Week 07;10773
40-50;Year 2022 Week 07;8718
50-60;Year 2022 Week 07;4323
60-70;Year 2022 Week 07;1760
70-80;Year 2022 Week 07;770
80-;Year 2022 Week 07;888
All ages;Year 2022 Week 07;44991
00-10;Year 2022 Week 08;2785
10-20;Year 2022 Week 08;5497
20-30;Year 2022 Week 08;8381
30-40;Year 2022 Week 08;10684
40-50;Year 2022 Week 08;8757
50-60;Year 2022 Week 08;4854
60-70;Year 2022 Week 08;1908
70-80;Year 2022 Week 08;828
80-;Year 2022 Week 08;939
All ages;Year 2022 Week 08;44633
00-10;Year 2022 Week 09;2060
10-20;Year 2022 Week 09;4693
20-30;Year 2022 Week 09;8897
30-40;Year 2022 Week 09;10158
40-50;Year 2022 Week 09;8585
50-60;Year 2022 Week 09;5460
60-70;Year 2022 Week 09;2251
70-80;Year 2022 Week 09;1022
80-;Year 2022 Week 09;1193
All ages;Year 2022 Week 09;44319
00-10;Year 2022 Week 10;2075
10-20;Year 2022 Week 10;4850
20-30;Year 2022 Week 10;12831
30-40;Year 2022 Week 10;10881
40-50;Year 2022 Week 10;9068
50-60;Year 2022 Week 10;6323
60-70;Year 2022 Week 10;2769
70-80;Year 2022 Week 10;1213
80-;Year 2022 Week 10;1532
All ages;Year 2022 Week 10;51542
00-10;Year 2022 Week 11;1972
10-20;Year 2022 Week 11;4545
20-30;Year 2022 Week 11;11923
30-40;Year 2022 Week 11;11537
40-50;Year 2022 Week 11;10016
50-60;Year 2022 Week 11;7603
60-70;Year 2022 Week 11;3231
70-80;Year 2022 Week 11;1503
80-;Year 2022 Week 11;1634
All ages;Year 2022 Week 11;53964
00-10;Year 2022 Week 12;1813
10-20;Year 2022 Week 12;4104
20-30;Year 2022 Week 12;9986
30-40;Year 2022 Week 12;11418
40-50;Year 2022 Week 12;10207
50-60;Year 2022 Week 12;8412
60-70;Year 2022 Week 12;3841
70-80;Year 2022 Week 12;1836
80-;Year 2022 Week 12;2045
All ages;Year 2022 Week 12;53662
00-10;Year 2022 Week 13;1460
10-20;Year 2022 Week 13;3071
20-30;Year 2022 Week 13;7658
30-40;Year 2022 Week 13;9125
40-50;Year 2022 Week 13;8576
50-60;Year 2022 Week 13;7558
60-70;Year 2022 Week 13;3535
70-80;Year 2022 Week 13;1701
80-;Year 2022 Week 13;1827
All ages;Year 2022 Week 13;44511
00-10;Year 2022 Week 14;1045
10-20;Year 2022 Week 14;2838
20-30;Year 2022 Week 14;6061
30-40;Year 2022 Week 14;7629
40-50;Year 2022 Week 14;7382
50-60;Year 2022 Week 14;6701
60-70;Year 2022 Week 14;3124
70-80;Year 2022 Week 14;1455
80-;Year 2022 Week 14;1758
All ages;Year 2022 Week 14;37993
00-10;Year 2022 Week 15;758
10-20;Year 2022 Week 15;1931
20-30;Year 2022 Week 15;4559
30-40;Year 2022 Week 15;5741
40-50;Year 2022 Week 15;5703
50-60;Year 2022 Week 15;5290
60-70;Year 2022 Week 15;2461
70-80;Year 2022 Week 15;1338
80-;Year 2022 Week 15;1636
All ages;Year 2022 Week 15;29417
00-10;Year 2022 Week 16;622
10-20;Year 2022 Week 16;1434
20-30;Year 2022 Week 16;4438
30-40;Year 2022 Week 16;5180
40-50;Year 2022 Week 16;5178
50-60;Year 2022 Week 16;4995
60-70;Year 2022 Week 16;2342
70-80;Year 2022 Week 16;1220
80-;Year 2022 Week 16;1323
All ages;Year 2022 Week 16;26732
00-10;Year 2022 Week 17;387
10-20;Year 2022 Week 17;946
20-30;Year 2022 Week 17;2855
30-40;Year 2022 Week 17;3614
40-50;Year 2022 Week 17;3609
50-60;Year 2022 Week 17;3754
60-70;Year 2022 Week 17;1915
70-80;Year 2022 Week 17;1062
80-;Year 2022 Week 17;1029
All ages;Year 2022 Week 17;19171
00-10;Year 2022 Week 18;356
10-20;Year 2022 Week 18;891
20-30;Year 2022 Week 18;3026
30-40;Year 2022 Week 18;3294
40-50;Year 2022 Week 18;3216
50-60;Year 2022 Week 18;3485
60-70;Year 2022 Week 18;1661
70-80;Year 2022 Week 18;957
80-;Year 2022 Week 18;751
All ages;Year 2022 Week 18;17637
00-10;Year 2022 Week 19;297
10-20;Year 2022 Week 19;710
20-30;Year 2022 Week 19;2014
30-40;Year 2022 Week 19;2641
40-50;Year 2022 Week 19;2624
50-60;Year 2022 Week 19;3022
60-70;Year 2022 Week 19;1504
70-80;Year 2022 Week 19;864
80-;Year 2022 Week 19;717
All ages;Year 2022 Week 19;14393
00-10;Year 2022 Week 20;202
10-20;Year 2022 Week 20;492
20-30;Year 2022 Week 20;1501
30-40;Year 2022 Week 20;2056
40-50;Year 2022 Week 20;2171
50-60;Year 2022 Week 20;2482
60-70;Year 2022 Week 20;1208
70-80;Year 2022 Week 20;679
80-;Year 2022 Week 20;618
All ages;Year 2022 Week 20;11409
00-10;Year 2022 Week 21;199
10-20;Year 2022 Week 21;463
20-30;Year 2022 Week 21;1411
30-40;Year 2022 Week 21;1932
40-50;Year 2022 Week 21;2074
50-60;Year 2022 Week 21;2306
60-70;Year 2022 Week 21;1132
70-80;Year 2022 Week 21;703
80-;Year 2022 Week 21;529
All ages;Year 2022 Week 21;10749
00-10;Year 2022 Week 22;189
10-20;Year 2022 Week 22;411
20-30;Year 2022 Week 22;1736
30-40;Year 2022 Week 22;2002
40-50;Year 2022 Week 22;1999
50-60;Year 2022 Week 22;2337
60-70;Year 2022 Week 22;1219
70-80;Year 2022 Week 22;585
80-;Year 2022 Week 22;402
All ages;Year 2022 Week 22;10880
00-10;Year 2022 Week 23;181
10-20;Year 2022 Week 23;523
20-30;Year 2022 Week 23;1722
30-40;Year 2022 Week 23;1922
40-50;Year 2022 Week 23;1974
50-60;Year 2022 Week 23;2185
60-70;Year 2022 Week 23;1035
70-80;Year 2022 Week 23;565
80-;Year 2022 Week 23;373
All ages;Year 2022 Week 23;10480
00-10;Year 2022 Week 24;132
10-20;Year 2022 Week 24;460
20-30;Year 2022 Week 24;1688
30-40;Year 2022 Week 24;1910
40-50;Year 2022 Week 24;1972
50-60;Year 2022 Week 24;2296
60-70;Year 2022 Week 24;1123
70-80;Year 2022 Week 24;570
80-;Year 2022 Week 24;437
All ages;Year 2022 Week 24;10588
00-10;Year 2022 Week 25;169
10-20;Year 2022 Week 25;420
20-30;Year 2022 Week 25;1640
30-40;Year 2022 Week 25;1944
40-50;Year 2022 Week 25;1847
50-60;Year 2022 Week 25;2225
60-70;Year 2022 Week 25;1198
70-80;Year 2022 Week 25;569
80-;Year 2022 Week 25;435
All ages;Year 2022 Week 25;10447
00-10;Year 2022 Week 26;149
10-20;Year 2022 Week 26;586
20-30;Year 2022 Week 26;2283
30-40;Year 2022 Week 26;2081
40-50;Year 2022 Week 26;2212
50-60;Year 2022 Week 26;2591
60-70;Year 2022 Week 26;1351
70-80;Year 2022 Week 26;642
80-;Year 2022 Week 26;570
All ages;Year 2022 Week 26;12465
00-10;Year 2022 Week 27;164
10-20;Year 2022 Week 27;601
20-30;Year 2022 Week 27;2246
30-40;Year 2022 Week 27;2212
40-50;Year 2022 Week 27;2132
50-60;Year 2022 Week 27;2514
60-70;Year 2022 Week 27;1368
70-80;Year 2022 Week 27;647
80-;Year 2022 Week 27;637
All ages;Year 2022 Week 27;12521
00-10;Year 2022 Week 28;171
10-20;Year 2022 Week 28;837
20-30;Year 2022 Week 28;2561
30-40;Year 2022 Week 28;2534
40-50;Year 2022 Week 28;2626
50-60;Year 2022 Week 28;3113
60-70;Year 2022 Week 28;1640
70-80;Year 2022 Week 28;850
80-;Year 2022 Week 28;740
All ages;Year 2022 Week 28;15072
00-10;Year 2022 Week 29;258
10-20;Year 2022 Week 29;858
20-30;Year 2022 Week 29;3060
30-40;Year 2022 Week 29;3094
40-50;Year 2022 Week 29;3051
50-60;Year 2022 Week 29;3646
60-70;Year 2022 Week 29;1955
70-80;Year 2022 Week 29;959
80-;Year 2022 Week 29;842
All ages;Year 2022 Week 29;17723
00-10;Year 2022 Week 30;199
10-20;Year 2022 Week 30;785
20-30;Year 2022 Week 30;2611
30-40;Year 2022 Week 30;3048
40-50;Year 2022 Week 30;3039
50-60;Year 2022 Week 30;3463
60-70;Year 2022 Week 30;1871
70-80;Year 2022 Week 30;924
80-;Year 2022 Week 30;876
All ages;Year 2022 Week 30;16816
00-10;Year 2022 Week 31;228
10-20;Year 2022 Week 31;541
20-30;Year 2022 Week 31;2185
30-40;Year 2022 Week 31;2676
40-50;Year 2022 Week 31;2804
50-60;Year 2022 Week 31;3469
60-70;Year 2022 Week 31;1789
70-80;Year 2022 Week 31;875
80-;Year 2022 Week 31;926
All ages;Year 2022 Week 31;15493
00-10;Year 2022 Week 32;171
10-20;Year 2022 Week 32;448
20-30;Year 2022 Week 32;1744
30-40;Year 2022 Week 32;2153
40-50;Year 2022 Week 32;2302
50-60;Year 2022 Week 32;2892
60-70;Year 2022 Week 32;1575
70-80;Year 2022 Week 32;728
80-;Year 2022 Week 32;918
All ages;Year 2022 Week 32;12931
00-10;Year 2022 Week 33;215
10-20;Year 2022 Week 33;402
20-30;Year 2022 Week 33;1434
30-40;Year 2022 Week 33;1806
40-50;Year 2022 Week 33;1951
50-60;Year 2022 Week 33;2273
60-70;Year 2022 Week 33;1276
70-80;Year 2022 Week 33;582
80-;Year 2022 Week 33;724
All ages;Year 2022 Week 33;10663
00-10;Year 2022 Week 34;138
10-20;Year 2022 Week 34;248
20-30;Year 2022 Week 34;1000
30-40;Year 2022 Week 34;1241
40-50;Year 2022 Week 34;1328
50-60;Year 2022 Week 34;1620
60-70;Year 2022 Week 34;814
70-80;Year 2022 Week 34;397
80-;Year 2022 Week 34;526
All ages;Year 2022 Week 34;7312
00-10;Year 2022 Week 35;93
10-20;Year 2022 Week 35;181
20-30;Year 2022 Week 35;701
30-40;Year 2022 Week 35;1013
40-50;Year 2022 Week 35;1045
50-60;Year 2022 Week 35;1376
60-70;Year 2022 Week 35;666
70-80;Year 2022 Week 35;351
80-;Year 2022 Week 35;483
All ages;Year 2022 Week 35;5909
00-10;Year 2022 Week 36;73
10-20;Year 2022 Week 36;168
20-30;Year 2022 Week 36;843
30-40;Year 2022 Week 36;1109
40-50;Year 2022 Week 36;1268
50-60;Year 2022 Week 36;1589
60-70;Year 2022 Week 36;757
70-80;Year 2022 Week 36;400
80-;Year 2022 Week 36;606
All ages;Year 2022 Week 36;6813
00-10;Year 2022 Week 37;76
10-20;Year 2022 Week 37;221
20-30;Year 2022 Week 37;1050
30-40;Year 2022 Week 37;1463
40-50;Year 2022 Week 37;1566
50-60;Year 2022 Week 37;2096
60-70;Year 2022 Week 37;998
70-80;Year 2022 Week 37;528
80-;Year 2022 Week 37;819
All ages;Year 2022 Week 37;8817
00-10;Year 2022 Week 38;76
10-20;Year 2022 Week 38;196
20-30;Year 2022 Week 38;870
30-40;Year 2022 Week 38;1224
40-50;Year 2022 Week 38;1412
50-60;Year 2022 Week 38;2003
60-70;Year 2022 Week 38;1035
70-80;Year 2022 Week 38;599
80-;Year 2022 Week 38;882
All ages;Year 2022 Week 38;8297
00-10;Year 2022 Week 39;91
10-20;Year 2022 Week 39;233
20-30;Year 2022 Week 39;1074
30-40;Year 2022 Week 39;1595
40-50;Year 2022 Week 39;1985
50-60;Year 2022 Week 39;2551
60-70;Year 2022 Week 39;1242
70-80;Year 2022 Week 39;744
80-;Year 2022 Week 39;1137
All ages;Year 2022 Week 39;10652
00-10;Year 2022 Week 40;138
10-20;Year 2022 Week 40;281
20-30;Year 2022 Week 40;1300
30-40;Year 2022 Week 40;1922
40-50;Year 2022 Week 40;2337
50-60;Year 2022 Week 40;3029
60-70;Year 2022 Week 40;1442
70-80;Year 2022 Week 40;921
80-;Year 2022 Week 40;1441
All ages;Year 2022 Week 40;12811
00-10;Year 2022 Week 41;133
10-20;Year 2022 Week 41;331
20-30;Year 2022 Week 41;1454
30-40;Year 2022 Week 41;2218
40-50;Year 2022 Week 41;2421
50-60;Year 2022 Week 41;3304
60-70;Year 2022 Week 41;1590
70-80;Year 2022 Week 41;998
80-;Year 2022 Week 41;1534
All ages;Year 2022 Week 41;13983
00-10;Year 2022 Week 42;134
10-20;Year 2022 Week 42;280
20-30;Year 2022 Week 42;1325
30-40;Year 2022 Week 42;2077
40-50;Year 2022 Week 42;2298
50-60;Year 2022 Week 42;3108
60-70;Year 2022 Week 42;1513
70-80;Year 2022 Week 42;945
80-;Year 2022 Week 42;1475
All ages;Year 2022 Week 42;13155
00-10;Year 2022 Week 43;134
10-20;Year 2022 Week 43;322
20-30;Year 2022 Week 43;1438
30-40;Year 2022 Week 43;2034
40-50;Year 2022 Week 43;2257
50-60;Year 2022 Week 43;2976
60-70;Year 2022 Week 43;1486
70-80;Year 2022 Week 43;945
80-;Year 2022 Week 43;1350
All ages;Year 2022 Week 43;12942
00-10;Year 2022 Week 44;138
10-20;Year 2022 Week 44;309
20-30;Year 2022 Week 44;1270
30-40;Year 2022 Week 44;1837
40-50;Year 2022 Week 44;2007
50-60;Year 2022 Week 44;2726
60-70;Year 2022 Week 44;1431
70-80;Year 2022 Week 44;916
80-;Year 2022 Week 44;1361
All ages;Year 2022 Week 44;11995
00-10;Year 2022 Week 45;186
10-20;Year 2022 Week 45;315
20-30;Year 2022 Week 45;1317
30-40;Year 2022 Week 45;1939
40-50;Year 2022 Week 45;2114
50-60;Year 2022 Week 45;2694
60-70;Year 2022 Week 45;1500
70-80;Year 2022 Week 45;987
80-;Year 2022 Week 45;1412
All ages;Year 2022 Week 45;12464
00-10;Year 2022 Week 46;152
10-20;Year 2022 Week 46;320
20-30;Year 2022 Week 46;1359
30-40;Year 2022 Week 46;1919
40-50;Year 2022 Week 46;2171
50-60;Year 2022 Week 46;2659
60-70;Year 2022 Week 46;1368
70-80;Year 2022 Week 46;819
80-;Year 2022 Week 46;1179
All ages;Year 2022 Week 46;11946
00-10;Year 2022 Week 47;151
10-20;Year 2022 Week 47;284
20-30;Year 2022 Week 47;1296
30-40;Year 2022 Week 47;1883
40-50;Year 2022 Week 47;2086
50-60;Year 2022 Week 47;2563
60-70;Year 2022 Week 47;1394
70-80;Year 2022 Week 47;835
80-;Year 2022 Week 47;1196
All ages;Year 2022 Week 47;11688
00-10;Year 2022 Week 48;150
10-20;Year 2022 Week 48;265
20-30;Year 2022 Week 48;1354
30-40;Year 2022 Week 48;2049
40-50;Year 2022 Week 48;2127
50-60;Year 2022 Week 48;2765
60-70;Year 2022 Week 48;1363
70-80;Year 2022 Week 48;769
80-;Year 2022 Week 48;1143
All ages;Year 2022 Week 48;11985
00-10;Year 2022 Week 49;138
10-20;Year 2022 Week 49;267
20-30;Year 2022 Week 49;1386
30-40;Year 2022 Week 49;1931
40-50;Year 2022 Week 49;2133
50-60;Year 2022 Week 49;2617
60-70;Year 2022 Week 49;1391
70-80;Year 2022 Week 49;806
80-;Year 2022 Week 49;1122
All ages;Year 2022 Week 49;11791
00-10;Year 2022 Week 50;127
10-20;Year 2022 Week 50;246
20-30;Year 2022 Week 50;1214
30-40;Year 2022 Week 50;1625
40-50;Year 2022 Week 50;1760
50-60;Year 2022 Week 50;2215
60-70;Year 2022 Week 50;1261
70-80;Year 2022 Week 50;696
80-;Year 2022 Week 50;982
All ages;Year 2022 Week 50;10126
00-10;Year 2022 Week 51;103
10-20;Year 2022 Week 51;152
20-30;Year 2022 Week 51;706
30-40;Year 2022 Week 51;992
40-50;Year 2022 Week 51;1086
50-60;Year 2022 Week 51;1503
60-70;Year 2022 Week 51;893
70-80;Year 2022 Week 51;644
80-;Year 2022 Week 51;934
All ages;Year 2022 Week 51;7013
00-10;Year 2022 Week 52;108
10-20;Year 2022 Week 52;66
20-30;Year 2022 Week 52;424
30-40;Year 2022 Week 52;517
40-50;Year 2022 Week 52;555
50-60;Year 2022 Week 52;845
60-70;Year 2022 Week 52;512
70-80;Year 2022 Week 52;477
80-;Year 2022 Week 52;744
All ages;Year 2022 Week 52;4248
00-10;Year 2023 Week 01;44
10-20;Year 2023 Week 01;44
20-30;Year 2023 Week 01;233
30-40;Year 2023 Week 01;271
40-50;Year 2023 Week 01;272
50-60;Year 2023 Week 01;328
60-70;Year 2023 Week 01;269
70-80;Year 2023 Week 01;319
80-;Year 2023 Week 01;593
All ages;Year 2023 Week 01;2373
00-10;Year 2023 Week 02;33
10-20;Year 2023 Week 02;45
20-30;Year 2023 Week 02;107
30-40;Year 2023 Week 02;161
40-50;Year 2023 Week 02;123
50-60;Year 2023 Week 02;179
60-70;Year 2023 Week 02;140
70-80;Year 2023 Week 02;220
80-;Year 2023 Week 02;417
All ages;Year 2023 Week 02;1425
00-10;Year 2023 Week 03;22
10-20;Year 2023 Week 03;30
20-30;Year 2023 Week 03;52
30-40;Year 2023 Week 03;105
40-50;Year 2023 Week 03;67
50-60;Year 2023 Week 03;88
60-70;Year 2023 Week 03;103
70-80;Year 2023 Week 03;157
80-;Year 2023 Week 03;259
All ages;Year 2023 Week 03;883
00-10;Year 2023 Week 04;20
10-20;Year 2023 Week 04;22
20-30;Year 2023 Week 04;57
30-40;Year 2023 Week 04;82
40-50;Year 2023 Week 04;59
50-60;Year 2023 Week 04;91
60-70;Year 2023 Week 04;79
70-80;Year 2023 Week 04;113
80-;Year 2023 Week 04;170
All ages;Year 2023 Week 04;693
00-10;Year 2023 Week 05;17
10-20;Year 2023 Week 05;24
20-30;Year 2023 Week 05;55
30-40;Year 2023 Week 05;61
40-50;Year 2023 Week 05;66
50-60;Year 2023 Week 05;59
60-70;Year 2023 Week 05;61
70-80;Year 2023 Week 05;89
80-;Year 2023 Week 05;170
All ages;Year 2023 Week 05;602
00-10;Year 2023 Week 06;23
10-20;Year 2023 Week 06;16
20-30;Year 2023 Week 06;46
30-40;Year 2023 Week 06;55
40-50;Year 2023 Week 06;77
